,index,-,专家意见
17,26,0,你好，黄金短线支撑位于1355区域，这个位置跌破后才有机会下探1350区域。(2018-01-25 20:25:09)
18,27,0,你好，澳元5.1可以先换一部分，剩余部分关注5.07附近。(2018-01-25 20:23:20)
19,28,1,你好，美加晚间反弹高点关注1.2360区域。(2018-01-25 20:19:09)
20,29,0,你好，如果是近期就要使用的话建议短线有反弹就进行结汇，美元走势仍然看空。(2018-01-25 20:19:48)
21,30,0,"你好，德拉基晚间21:30才召开新闻发布会，目前不建议去赌行情，黄金还是建议逢低做多为主。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 20:12:14)"
22,31,0,你好，美日空单建议反弹后进场，关注上方109.50区域压力。(2018-01-25 20:10:27)
23,32,1,你好，镑美回调做多首先关注1.4220区域平台。(2018-01-25 20:08:31)
24,33,0,你好，澳美要做空最好等0.8050破位后选择右侧进场。(2018-01-25 20:04:47)
25,35,0,你好 镑美趋势看涨不变，多单可以继续持有，目标看到1.429/1.433，更多行情交流可加微信zsmlili1818(2018-01-25 17:10:36)
26,37,1,你好 欧美趋势还没有转变，不建议做空(2018-01-25 16:51:16)
27,38,1,你好 可以考虑结汇一半，剩余部分看情况再结汇(2018-01-25 16:49:39)
28,39,1,你好 美国官员讲话利好美元，但只能是暂时的，无法改变趋势(2018-01-25 16:44:23)
29,40,1,你好 空单可以继续持有，回落看108.5(2018-01-25 16:43:15)
30,41,1,你好 黄金现在回踩1357，一旦得到有效支撑将继续上涨(2018-01-25 16:31:12)
31,42,0,你好 美加日内再次反弹1.235的可能性不大，上方关注1.233附近，黄金已经到了1357稳健进场点位，空仓的可以布局做多，目标看1364，止损1354(2018-01-25 16:30:27)
32,46,0,你好 黄金趋势上涨并没有改变，出现回调是正常的，之前提示了1360是激进做多点位，稳健在1357布局(2018-01-25 16:23:19)
33,47,1,你好 黄金可以关注1357附近的支撑，回踩可布局做多，有多单的继续持有(2018-01-25 16:22:00)
34,48,0,你好 美元下看88.5/88.0，趋势不变就继续看空为主(2018-01-25 16:07:41)
35,52,1,你好之前已经回复过你了 激进者现价1.241轻仓可以做多，目标看1.245，稳健做多点位在1.238(2018-01-25 15:36:23)
36,53,1,你好 黄金刚刚在1359已经提示做多，现价可以考虑进场(2018-01-25 15:35:19)
37,54,0,你好 短期内跌破前期低点的可能性不大，长期看美加还会有较大下跌空间，还是有机会破1.205的(2018-01-25 15:34:54)
38,55,1,你好 先看今日高点1.432，突破看到1.435(2018-01-25 15:33:36)
39,57,0,你好 激进交易者现价1.426可轻仓尝试做多，目标看到1.431，稳健进场点位在1.423(2018-01-25 15:32:42)
40,58,0,你好 激进者现价1.241轻仓可以做多，目标看1.245，稳健做多点位在1.238(2018-01-25 15:31:08)
41,59,0,你好 大幅波动明显不是正常现象，背后有其它国家的影子，如果跌破6.0会对经济不利，具体在这里也不多预测了(2018-01-25 15:29:36)
42,60,0,你好 中期这么大幅度的下跌还是有很大难度的，外汇需要的是稳定，一般在短期内很难出现太大的波动，第一季度到100可能性不大(2018-01-25 15:24:18)
43,61,1,你好 可以考虑暂时兑换英镑(2018-01-25 15:22:19)
44,62,1,你好 不要因为点位太高而去选择逆势做空，从走势看没有明显的下跌迹象，个人不建议做空(2018-01-25 15:21:32)
45,63,1,你好 只要上涨趋势不变就一直看涨，阻力都是用来突破的，另外激进交易者黄金现价1359可布局做多，目标看到1364/1369，止损1354，稳健做多点位1357(2018-01-25 15:19:18)
46,64,0,你好 美日现价可以进场做空，目标看到108.5(2018-01-25 15:16:12)
47,69,1,你好 镑美从走势看没有明显的反转迹象，短期内到1.40下方的可能性不大(2018-01-25 15:12:32)
48,70,0,你好 美加日内高点就在1.235，预计不会再有新高，小幅反弹可做空(2018-01-25 15:06:10)
49,71,0,你好 欧美激进可在1.241做多，稳健1.238做多，黄金在1360小仓位尝试，稳健在1357(2018-01-25 14:58:00)
50,72,0,你好 美日现价109.0轻仓可以尝试追空，目标看到108.5(2018-01-25 14:56:30)
51,73,1,你好 如果可以长期持有1年以上，可以选择继续持有(2018-01-25 15:13:14)
52,74,0,你好 美日连续加速下跌，多单风险很大，如果仓位比较重的建议减仓，预计未来还会下跌，至于解套可以根据行情变化再择机布局，短期大幅上涨的可能性不大(2018-01-25 14:49:33)
53,75,1,你好 可以考虑部分购买，现在金价也是在高位，如果有反转迹象就要及时离场，更多行情分析可关注我们的公众号hzzsm888 (2018-01-25 14:47:07)
54,76,0,你好 如果偏鸽派，欧元下跌美元反弹，但是趋势还是下跌，不能排除冲高回落的可能(2018-01-25 14:45:17)
55,77,1,你好 纽美整体还是上涨趋势，回踩是布局做多机会，回踩0.735可布局做多，上看0.740(2018-01-25 14:40:06)
56,78,1,你好 上周很多人也是这个想法，现在美元更低了，趋势没有改变，如果能长期持有1年以上的可以继续持有(2018-01-25 14:33:44)
57,79,1,你好 英镑还有升值空间，可以选择继续持有(2018-01-25 14:31:47)
58,80,0,你好 整数关口短期不会触碰，大幅下跌对国家经济产生影响，不排除政府会出手干预(2018-01-25 14:29:48)
59,81,1,你好 白银阻力在17.7附近，一旦突破阻力，日内到17.8的可能性很大(2018-01-25 14:26:20)
60,82,0,你好 美元还是在下跌通道中，不建议兑换美元(2018-01-25 14:19:46)
61,83,0,你好 建议尽快兑换人民币，美元还会下跌，这个也是我一直的观点(2018-01-25 14:19:06)
62,85,1,你好 是日内多单的，黄金已经在阻力位附近，可以止盈离场，如果是打算布局短线或中线的，可以继续持有，近期预计还有新高(2018-01-25 14:15:27)
63,86,0,你好 近期我们的观点一直是看空美元，建议本周可以考虑兑换(2018-01-25 14:14:14)
64,87,0,你好 黄金在1367―1365附近有一定的阻力，现价追多并不合适，激进回踩1360做多(2018-01-25 14:11:20)
65,90,1,你好 短期内上涨到1.30会有一定难度，预计中长期还是有机会的(2018-01-25 13:40:09)
66,91,0,你好 美日可以关注108.7―108.8附近的支撑，跌破继续下看至108.3，不要猜测低点，趋势不变就没有低点(2018-01-25 13:37:44)
67,92,0,你好 预计今年第二季度有回落5.0的可能(2018-01-25 13:36:06)
68,93,0,你好 从走势上看预计还会下挫，但如果下跌幅度过大，不排除政府会干预(2018-01-25 13:31:39)
69,94,0,你好 美元没有明显的企稳迹象，预计短期还是以下跌为主(2018-01-25 13:29:30)
70,96,0,"目前看收线还没有确定在109下方，如果小时线能收线在109下方，则可以进场做空，止损就放在跌破109关口的阴线上方，以上思路可供参考
(2018-01-25 12:01:57)"
71,97,1,黄金近期在美指走弱及市场避险复苏情况下录得上行，并创近期新高，日线图看均线呈现多头排列，小时线更是接连收阳线突破盘整平台，目前日内短线我认为可以采取做多思路，当前看黄金小时线，阳线创新高后，可以考虑在1355一线进场布局多单，止损放在1352，止盈看1362，更多有关贵金属，外汇，原油行情交流，咨询及技术解析欢迎大家添加个人微信：jingzhe1688跟进了解。(2018-01-25 11:26:18)
72,98,1,目前美元还是维持弱势走势，不急着用可以等待至3月末，看届时美联储是否能给出加息刺激，如果能给出加息刺激，美元能会涨至6.5.(2018-01-25 11:24:48)
73,99,0,从分时K线图上看此时行情，属于收阳线突破前期的平台压制，此时操作我认为可以考虑做多为主，做空逆势也与行情实际走势不符。(2018-01-25 11:12:42)
74,100,0,美加在美元走低，同时原油市场表现靓丽带来的加元走强之际，近期走势是下行的，目前跌破1.24关口，后续我认为可以考虑看1.2050前期低点的支撑情况，目前看趋势依旧走空为主。(2018-01-25 10:52:53)
75,101,0,受美元疲软走势影响，加之周二日本央行的利率决议给出较为强势的信号，美日近期走势是看空的，日内推荐关注109.5进场点位布局空单，另从小时线看，如果能收阴线跌破109关口，则后续可以进场追空。(2018-01-25 10:45:50)
76,102,0,美元前景看跌的，主要原因归结于以下几点：1.世界其他经济体也在走货币政策正常化的道路，与美联储之间的差距再减小，缩小了美元的优势地位；2.美国政坛一直存在政治不确定性；3.美国税改对于美元的短期利好出尽，同时对于因税改带来的财政赤字反而加大了市场的一些忧虑情绪，目前市场将目光更多聚集在税改的长期效果，基于以上几点，美元还是有看空条件的。(2018-01-25 10:12:13)
77,103,1,黄金近期走势强劲，虽然周初美国政府停摆危机解除，但是并没有对黄金造成多大的利空，同时美元持续低迷给了黄金较强的上涨动能；周三黄金分时K线图收阳线突破1343平台压制后，周四再创近期新高，目前日内短线我认为可以采取做多思路，当前看黄金小时线，阳线创新高后，可以考虑在1355一线进场布局多单，止损放在1352，止盈看1362，以上思路可供参考。(2018-01-25 09:55:30)
78,104,1,可以考虑结汇，近期欧元的强劲表现，已经引起欧银官员的担忧情绪，不排除今天的利率决议爆出鸽派言论，市场得到的消息是，欧银官员对于欧元走强是持有损及经济发展势头的忧虑的。(2018-01-25 09:41:29)
79,106,1,你好，欧元之前突破了重要阻力位置，方向上是倾向逢低多，那么做的话尽量考虑回调支撑进场，别太关注阻力去做空。(2018-01-24 21:23:32)
80,107,1,你好，镑美上方强压力是1.4250，目前还没有触及这个位置。(2018-01-24 21:25:39)
81,108,0,你好，后续美日如果回测111-110.5附近区域的时候，可以尝试空单进场，不能有效突破该区域的话，美日依旧是空头主导。(2018-01-24 21:20:00)
82,109,1,你好，如果作为保值建议后续美元反弹后找机会兑换成加元或英镑。(2018-01-24 21:27:06)
83,110,0,你好，美日再往下支撑看到109.00整数位。如需更多外汇技术指导，可添加微信号xi13762 202524，进行详细咨询。(2018-01-24 21:24:23)
84,111,0,你好，关键技术位破位，多头止损空头进场。(2018-01-24 21:40:38)
85,114,1,你好，从大级别来看黄金周线来看已经接近高点1370附近了，就目前美元的情况来看，这个高点被突破的概率很大，做空的时候应该严格设置止损。从短线来说日内也突破了短线横盘区间继续上行，目前没有出现顶部信号的迹象。建议以尽量减少亏损出场为主。后续如果有机会去回踩1340附近的话找机会离场，只有跌穿1340附近才有继续向下回调的可能，否则会回测之后继续上拉。(2018-01-24 21:14:59)
86,116,0,你好，如果是近期就要使用的话，建议短线有小反弹就进行结汇。(2018-01-24 21:02:15)
87,117,0,你好，美加跌破近期横盘区间后，将向下方1.2260以及去年9月份低点1.2060区域发起冲击。(2018-01-24 20:47:22)
88,118,1,你好，镑美前期强压力位于1.3860区域以及上行通道上轨，目前突破后形成加速行情，更上方强压力位于1.4250区域。如需更多外汇技术指导，可添加微信号xi13762 202524，进行详细咨询。(2018-01-24 20:45:37)
89,119,0,你好，纽人后续4.73如果承压会有机会回落，届时可关注4.64以及4.60附近的兑换机会。(2018-01-24 20:43:34)
90,120,1,你好，中期来看澳元仍然是震荡上行走势。(2018-01-24 20:30:39)
91,122,1,你好，美加操作逢高做空，反弹关注1.2360区域。(2018-01-24 20:27:21)
92,125,0,你好，美日晚间等待反弹后逢高做空，反弹关注109.8以及110.00区域，目前美元疲软，直盘品种都以做空美元为主。(2018-01-24 20:22:08)
93,126,0,你好，美元指数日内跌破90.00关口后走势依然空头占据主导，操作建议逢高做空。(2018-01-24 20:15:44)
94,127,0,你好，澳元兑人民币的话要重点留意5.14附近的争夺，这个位置上不去还有短线回落的可能。(2018-01-24 20:11:42)
95,129,1,你好，后续9块站稳后将会继续向上方9.14以及9.20区域发起冲击。(2018-01-24 20:03:25)
96,130,0,你好，因为美元走软人民币走强的缘故，目前美元全面走弱阶段，图形方面美指周线也向下跌穿之前的横盘区间。(2018-01-24 21:09:58)
97,131,0,你好，各位新浪的朋友们晚上好，我是分析师陈一铭，本周晚间将由我为大家做外汇分析指导。短线回调如果0.8050如果无法下破，建议先行离场。(2018-01-24 19:59:51)
98,137,1,你好，是的，英镑是上涨通道，后市有机会到此位置附近(2018-01-24 16:43:50)
99,139,1,你好，黄金刚刚提示，突破1344，可以在1345直接轻仓做多黄金，做多目标先看1350，黄金在1352的位置是日内的初步阻力位。(2018-01-24 16:15:11)
100,140,0,你好，这个问题刚刚已经解答，虽然部分时候欧元的下跌，会成为助推美元的因素之一，但是这种影响相对来说，是比较间接的，依然不能忽视的问题是美元本身，本身的弱势走势是难以支撑其上涨的。在一方面来说，除非是非常大的市场波动，才会带来市场的联动效应，最后，相对来说，市场目前对欧元的情绪可能并不是本月不加息就能消耗的，黄金已经突破1344，做黄金的，可以现价1345轻仓追多。(2018-01-24 16:05:02)
101,141,0,你好，做空先看日内亚盘低点109.8，再看破位情况，破位看109.5(2018-01-24 15:39:37)
102,142,0,你好，关注昨日晚间的上涨回撤点位1.396，以及5日均线的支撑位1.395的位置，可以回踩布局多单(2018-01-24 15:27:22)
103,143,0,你好，机会不大，预计还会下跌。(2018-01-24 15:27:53)
104,144,1,你好，可以的，可以轻仓进场，上方重点关注110.2/110.3的阻力位。(2018-01-24 15:25:56)
105,145,0,你好，目前还是下跌趋势，预计还会下跌，短期有可能会测试6.35(2018-01-24 15:29:12)
106,146,1,你好，可以考虑，欧美短期走势还是看涨的。(2018-01-24 15:11:11)
107,147,1,你好，澳美目前走势是高位震荡的行情，下方关注0.798/0.797的支撑位，可以考虑回踩做多澳美。(2018-01-24 15:15:13)
108,148,1,你好，欧美关注1.229附近的支撑位，回踩可以轻仓布局多单，做多防守位置看1.226的5日均线支撑情况，上方看1.232/1.235(2018-01-24 15:19:59)
109,149,1,你好，个人不建议做空黄金，不排除向上突破的可能。目前四小时的图形上看，下方支撑比较明显，均线呈现平滑向上分布，做空不是很合适，如果行情出现有效突破，也可以再跟进多单。下方还是关注1338的支撑位不变。(2018-01-24 14:53:04)
110,150,1,你好，震荡上涨的行情，不是很建议持有(2018-01-24 14:50:08)
111,151,1,"你好，有空单的雅瑶考虑好止损的设置，行情若有效突破前期的高点位置1344.5,那么走势上黄金有较大的概率是重回上涨趋势，后市还会向上突破，空单不能持有(2018-01-24 14:49:26)"
112,152,0,你好，预计还会下跌，中期有到108附近的可能(2018-01-24 14:28:30)
113,153,1,你好，欧元可以持有，还有上涨可能(2018-01-24 14:26:02)
114,154,1,你好，其实若果仔细研究市场不难发现，很多时候价格的大幅波动并不依仗基本面事件，更多时候，走势出现之后，基本面事件的影响是其中的助推因素。日内重点关注1.229的支撑位。可以考虑回踩做多。具体图形行情的解析，和未来价格的走向预测，可以添加微信号：zsmlili1818，获得相关的指导学习课程。(2018-01-24 14:25:32)
115,155,0,你好，可以的，美日已经破位下跌，支撑位破位转阻力位，可以依托110的阻力位做空美日(2018-01-24 14:20:34)
116,156,1,你好，我们在判断价格目标的时候，往往会用到支撑位阻力位的知识，多单在手考虑到的就是价格上方的阻力位，也就是我们多单的目标位置，阻力为的判断中有一个非常重要的部分就是，前期的价格高点，那么近期的黄金价格高点位置在1343/1344的位置，所以，多单可以看此位置即可，若价格能有效突破前高，后市就还有上涨空间。(2018-01-24 14:18:34)
117,162,0,你好，日元走势依然偏空。预计还会下跌。需要的时候可以兑换。(2018-01-24 14:06:41)
118,163,1,你好，欧元预计还会上涨，现在可以考虑兑换。(2018-01-24 14:06:02)
119,164,1,你好，英镑跟人从去年就开始建议兑换了，有需要的建议及时兑换，后市看涨(2018-01-24 14:04:53)
120,165,1,你好，镑美目前是上涨趋势，预计还会上涨(2018-01-24 14:04:23)
121,166,0,你好，预计还会下跌，可以再等等(2018-01-24 14:03:53)
122,167,0,"你好，难度较大，目前一直是承压下跌的走势，多单建议考虑止损的设置，1.246多单若跌破1.235的短期低点，说明价格重回弱势，后市还会下跌，这个时候就要及时止损了，在交易的过程中，小止损的设置是为了避免更大的止损，就像犯错了要及时认识到错误，不修改，会有反更大错误的可能。日内关注1.245的初步阻力位。若有反弹机会，还是建议及时离场的。如需具体的图形解析及指导建议，可以关注微信公众号：hzzsm888,获得相关的学习课程和资料(2018-01-24 14:03:09)"
123,168,0,你好，美加日线级别承压在20日均线的位置，走势上依然偏空头下跌，建议操作上还是做空美加比较合适，下方关注1.236/1.235的前期低点，上方关注1.245的阻力位(2018-01-24 13:56:25)
124,169,0,你好，美加日线级别承压在20日均线的位置，走势上依然偏空头下跌，建议操作上还是做空美加比较合适，下方关注1.236/1.235的前期低点(2018-01-24 13:53:58)
125,170,1,你好，澳美目前还是上涨趋势，预计还会上涨。(2018-01-24 13:52:35)
126,171,0,你好，目前下跌的过程中，短期难有反弹上涨的机会。(2018-01-24 13:48:41)
127,173,1,你好，是的，英镑走势看涨(2018-01-24 13:47:01)
128,174,0,你好，预计还会下跌，可以在需要的时候再兑换(2018-01-24 13:46:41)
129,176,0,你好，短期预计还会承压下跌的可能性更大(2018-01-24 13:45:30)
130,177,0,你好，预计还会下跌，下跌的过程中不猜测底部，能否在支撑位反弹也要在后市中寻找反转信号。(2018-01-24 13:45:10)
131,182,1,你好，镑美整体趋势偏强，日内关注下方1.4000的支撑，逢低布局多单，短线持有，防止空头回补。(2018-01-24 11:53:48)
132,183,0,你好，从周线看，澳元兑人民币连续出现两根带长影线的十字星，若本周未能突破前高，则会有短期回落的机会。(2018-01-24 11:52:18)
133,185,0,你好，从技术面看，美日近期关键的多空分水岭是110.00关口，若跌破该支撑则意味着开启一个新的看跌趋势，下行空间将进一步被打开，日内预计还有测试110的可能，稳健还是在110.5附近布局空单。(2018-01-24 11:14:59)
134,186,1,你好，黄金多单可以看前期高点1357，若中长线持有也是可以的，后期中长线布局机会可添加微信jingzhe1688免费交流和学习。(2018-01-24 10:44:06)
135,187,1,你好，美日下方看108.9、108的支撑(2018-01-24 10:37:33)
136,192,0,你好，澳美近期处于0.7950-0.8020区间震荡，日内守住昨日高点可以尝试布局空单，下方支撑在0.7960，日内暂时高抛低吸。(2018-01-24 10:45:07)
137,194,1,你好，欧美短期还有上行的风险，所以空单还不适合介入，日内支撑看1.2270的支撑，逢低布局多单，看新高。(2018-01-24 11:11:20)
138,195,0,你好，美日目前跌破上周低点，扭转了此前日本央行行长黑田东彦表示仍将全力支持货币宽松政策，且不打算缩减刺激措施的早期涨幅。黑田东彦的言论抑制了人们的猜测，即日本央行不久将追随欧洲央行和美联储，结束货币宽松政策。从技术面看，美日近期关键的多空分水岭是110.00关口，若跌破该支撑则意味着开启一个新的看跌趋势，下行空间将进一步被打开；操作上谨慎低多布局。(2018-01-24 10:58:19)
139,196,0,你好，纽美有进一步看向0.7400区域的可能；在未来一周里有望继续维持多头的趋势，主要推动因素仍是美元的弱势；日内关注下方0.7340/20的支撑逢低布局多单。(2018-01-24 11:06:17)
140,197,0,你好，美加整体偏空趋势，一旦跌破1.2400建议及时离场，日内守住10日均线的阻力位，逢高做空，逆势单择机离场，后续更多详解可添加微信咨询。(2018-01-24 10:47:17)
141,198,0,你好，美加趋势偏空，稳健还是建议在日线依据上方10日均线的阻力，逢高布局空单，当前进场的单子建议守住1.2400的支撑逢高减仓或离场。(2018-01-24 10:00:25)
142,199,0,你好，做空可参考前期高点的阻力位，后期中长线布局机会可详细咨询微信。(2018-01-24 09:54:17)
143,200,0,你好，美元和美国国债收益率走弱，美国十年期国债收益率在近三周内录得最大单日跌幅，美元指数仍陷于三年低位附近；先前美国议员达成协议，暂时解除三天来政府关门局面，不过市场对此担忧并未完全解除，加上全球其他央行收水致美元收益率优势侵蚀，美元仍面临压力。(2018-01-24 09:57:57)
144,203,1,你好，欧美支撑看1.2270的支撑，逢低布局多单，后续详细分析可添加微信jingzhe1688免费交流和学习。(2018-01-24 09:53:06)
145,204,0,你好，美元和美国国债收益率走弱，美国十年期国债收益率在近三周内录得最大单日跌幅，美元指数仍陷于三年低位附近；先前美国议员达成协议，暂时解除三天来政府关门局面，不过市场对此担忧并未完全解除，加上全球其他央行收水致美元收益率优势侵蚀，美元仍面临压力。(2018-01-24 09:56:32)
146,205,0,你好，美指日内先看89.97的低点是否被破，目前暂时没有利好因素的支撑，不过在加息来临前会得到一些支撑。(2018-01-24 09:47:30)
147,206,1,你好，镑美多头存在更多上行空间，不过下一轮上行将需新的利好触发因素，即英国录得意外乐观的经济数据，及英国与欧盟就脱欧过渡协议达成君子协定；技术看镑美最终上破1.40关口，不过多头可能难以维持该点位上方的涨势，短线暂时低多为主，看涨不追涨，后续可添加微信详细了解。(2018-01-24 09:32:22)
148,208,0,你好，美加整体破偏空走势，上方关注日线10日均线的阻力，逢高布局空单，后续详细分析可添加微信咨询。(2018-01-24 10:13:57)
149,209,1,你好，欧元兑人民币整体看处于上行阶段，近期可以考虑兑换(2018-01-24 09:06:14)
150,213,0,你好，欧美要做空建议耐心等待上方1.2280~1.2300区域。(2018-01-23 21:44:57)
151,214,0,你好，如果有效跌破区间下沿110.20可以考虑跟进空单。(2018-01-23 21:36:24)
152,217,1,你好，晚间欧美还是看震荡，镑美短线回调后还是可以择机做多。(2018-01-23 21:07:10)
153,220,0,你好，可以关注一下周四欧洲央行利率决议，届时将有机会回落至7.82左右。(2018-01-23 20:48:29)
154,222,0,你好，月线级别美元指数能否重新站上92.00区域将决定后续美元中期走势，如果无法站上美元将延续下跌走势。(2018-01-23 20:30:55)
155,226,1,有点困难，美股目前继续看多、、、技术上有问题的可以加微信 air_wangliang，平时群里面有行情分析、策略制定和进场提示，欢迎大家加入^_^(2018-01-29 21:19:54)
156,227,1,控制仓位逢低可以做个反弹走势，下方关注支撑1340、1335(2018-01-29 21:19:39)
157,228,1,黄金这2年时间一直在上涨，尤其2017年下半年，涨势更是强劲，目前仍旧处于上涨走势中、、、若美股暴跌会引发市场避险风险，黄金会受到一定支撑而上涨(2018-01-29 21:09:43)
158,229,0,暂时没办法结汇，汇率一直在下跌，目前适合人民币兑换美元，美元结汇很被动，错过了好的机会、、预计价格还会回落一些幅度(2018-01-29 20:47:36)
159,231,0,走势还是偏弱些，没出现止跌迹象，耐心等待做多信号，现在不着急(2018-01-29 20:38:30)
160,233,0,日内走势偏空，目前已经下跌60个点，空单没办法进场追空了、、至于做多暂时比较激进，存在一定风险(2018-01-29 20:33:16)
161,234,0,欧盘价格都已经跌的差不多了，这个时候没办法进场做空，风险太大(2018-01-29 20:32:19)
162,235,0,澳元上方阻力0.8140较为明显，目前在高位受阻回落，现价走势偏空，适合空单，跌至0.8040附近，若价格止跌可尝试逢低买入(2018-01-29 20:31:40)
163,236,0,欧盘到现在已经跌了65个点，现价进场点位没任何优势，错过了进场机会(2018-01-29 20:23:44)
164,237,1,日内价格在40个点的区间内窄幅震荡，个人觉得没什么操作价值、若你想进场，可现价做多(2018-01-29 20:23:07)
165,239,0,英镑日内都是偏空，下方支撑关注1.4050、1.4030、1.4000，尤其是1.400附近的支撑较为关键(2018-01-29 20:18:18)
166,240,1,今年以来，人民币对美元汇率中间价累计上涨1906个基点，涨幅达2.92%。当前人民币对美元升值幅度仍然相对有限，而且人民币汇率指数保持相对稳定，这对出口的负面作用并不大，同时人民币对美元稳中趋升有利于稳定资本流动的预期，抑制资本外流的意愿。当然，也需要密切关注人民币升值过快对经济和出口的负面影响(2018-01-29 20:17:23)
167,241,0,现价不可以，多单还没出现进场信号，目前还是偏空走势(2018-01-29 20:11:52)
168,242,0,现价还没出现止跌的信号，多单不能进场(2018-01-29 20:11:31)
169,243,0,暂时这2个品种处于高位调整中，目前不适合做多(2018-01-29 20:11:18)
170,244,0,目前不适合美元结汇，适合人民币兑换美元，你错过了兑换时机(2018-01-29 20:03:51)
171,245,1,不着急可以等等，英镑兑人民币后市看多(2018-01-29 20:04:35)
172,249,1,你好，澳人下方5.0位置的支撑较为明显，后续短线回调后仍倾向进一步走高。(2018-01-23 20:36:12)
173,250,1,"你好，可以先行离场等待后续行情进一步回落后再布局多单。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-23 20:26:23)"
174,252,1,你好，镑美日内跌破前期高点1.3945区域后短线倾向于进一步展开回调走势，多单建议等待下方1.3900区域再寻找进场机会。(2018-01-23 20:13:06)
175,253,1,你好，镑美日内跌破前期高点1.3945区域后短线倾向于进一步展开回调走势，多单建议等待下方1.3900区域再寻找进场机会。(2018-01-23 20:06:00)
176,254,1,你好，黄金目前日内横盘平台1337区域一直未能有效上破，做多建议回调进场。(2018-01-23 20:05:04)
177,255,1,你好，镑瑞后续日线级别依然看多，但短线由于前期涨幅较大目前需要回调积蓄力量，如果是日内交易建议带好止损止盈。(2018-01-23 20:04:03)
178,256,0,你好，各位新浪的朋友们晚上好，我是分析师陈一铭，本周晚间将由我为大家做外汇分析指导。澳美日内跌破0.7975区域后，后续将有机会向下测试0.7940区域。(2018-01-23 20:02:05)
179,258,1,你好 美加已经突破上涨，预计今日还有继续上行可能，下方可以关注1.246―1.247附近的支撑，回踩可布局做多，目标看1.250/1.253，之前我也提示了突破1.247可尝试追多，更多行情交流可加微信zsmlili1818(2018-01-23 16:58:25)
180,260,1,你好 美日现价110.7可继续做多，目标看111.1，止损设110.3(2018-01-23 16:49:50)
181,261,0,你好 很多人都想知道底部，但是这个是不可预测的，只要趋势不变就持续看空(2018-01-23 16:48:58)
182,263,1,你好 磅美现价1.394可布局做多，目标看1.397/1.400，跌破1.390止损离场(2018-01-23 16:26:36)
183,266,0,你好 美加一旦站稳1.250将看重要阻力1.260，如果突破1.260短期将有反弹可能(2018-01-23 16:11:54)
184,267,0,你好 欧美如果打算做空的，建议在1.225，突破1.227就不建议做空了，欧美近期走势震荡看涨，个人建议稳健低多为主，做空风险偏大(2018-01-23 15:44:15)
185,268,1,你好 英镑走势较强，可以考虑兑换英镑(2018-01-23 15:43:55)
186,271,0,你好 欧美如果打算做空的，建议在1.225，突破1.227就不建议做空了，欧美近期走势震荡看涨，个人建议稳健低多为主，做空风险偏大(2018-01-23 15:40:02)
187,272,0,你好 美元还有贬值风险，建议稍晚时间段再考虑兑换(2018-01-23 15:37:52)
