情绪,专家意见
1,你好 可以考虑部分购买，现在金价也是在高位，如果有反转迹象就要及时离场，更多行情分析可关注我们的公众号hzzsm888 (2018-01-25 14:47:07)
0,你好 如果偏鸽派，欧元下跌美元反弹，但是趋势还是下跌，不能排除冲高回落的可能(2018-01-25 14:45:17)
1,你好 纽美整体还是上涨趋势，回踩是布局做多机会，回踩0.735可布局做多，上看0.740(2018-01-25 14:40:06)
1,你好 上周很多人也是这个想法，现在美元更低了，趋势没有改变，如果能长期持有1年以上的可以继续持有(2018-01-25 14:33:44)
1,你好 英镑还有升值空间，可以选择继续持有(2018-01-25 14:31:47)
0,你好 整数关口短期不会触碰，大幅下跌对国家经济产生影响，不排除政府会出手干预(2018-01-25 14:29:48)
1,你好 白银阻力在17.7附近，一旦突破阻力，日内到17.8的可能性很大(2018-01-25 14:26:20)
0,你好 美元还是在下跌通道中，不建议兑换美元(2018-01-25 14:19:46)
0,你好 建议尽快兑换人民币，美元还会下跌，这个也是我一直的观点(2018-01-25 14:19:06)
,你好 晚间8点45分公布利率决议，预计保持不变，及时数据分析交流可加我们的微信(2018-01-25 14:17:38)
1,你好 是日内多单的，黄金已经在阻力位附近，可以止盈离场，如果是打算布局短线或中线的，可以继续持有，近期预计还有新高(2018-01-25 14:15:27)
0,你好 近期我们的观点一直是看空美元，建议本周可以考虑兑换(2018-01-25 14:14:14)
0,你好 黄金在1367―1365附近有一定的阻力，现价追多并不合适，激进回踩1360做多(2018-01-25 14:11:20)
,0
,0
1,你好 短期内上涨到1.30会有一定难度，预计中长期还是有机会的(2018-01-25 13:40:09)
0,你好 美日可以关注108.7―108.8附近的支撑，跌破继续下看至108.3，不要猜测低点，趋势不变就没有低点(2018-01-25 13:37:44)
0,你好 预计今年第二季度有回落5.0的可能(2018-01-25 13:36:06)
0,你好 从走势上看预计还会下挫，但如果下跌幅度过大，不排除政府会干预(2018-01-25 13:31:39)
0,你好 美元没有明显的企稳迹象，预计短期还是以下跌为主(2018-01-25 13:29:30)
,0
0,"目前看收线还没有确定在109下方，如果小时线能收线在109下方，则可以进场做空，止损就放在跌破109关口的阴线上方，以上思路可供参考
(2018-01-25 12:01:57)"
1,黄金近期在美指走弱及市场避险复苏情况下录得上行，并创近期新高，日线图看均线呈现多头排列，小时线更是接连收阳线突破盘整平台，目前日内短线我认为可以采取做多思路，当前看黄金小时线，阳线创新高后，可以考虑在1355一线进场布局多单，止损放在1352，止盈看1362，更多有关贵金属，外汇，原油行情交流，咨询及技术解析欢迎大家添加个人微信：jingzhe1688跟进了解。(2018-01-25 11:26:18)
1,目前美元还是维持弱势走势，不急着用可以等待至3月末，看届时美联储是否能给出加息刺激，如果能给出加息刺激，美元能会涨至6.5.(2018-01-25 11:24:48)
0,从分时K线图上看此时行情，属于收阳线突破前期的平台压制，此时操作我认为可以考虑做多为主，做空逆势也与行情实际走势不符。(2018-01-25 11:12:42)
0,美加在美元走低，同时原油市场表现靓丽带来的加元走强之际，近期走势是下行的，目前跌破1.24关口，后续我认为可以考虑看1.2050前期低点的支撑情况，目前看趋势依旧走空为主。(2018-01-25 10:52:53)
0,受美元疲软走势影响，加之周二日本央行的利率决议给出较为强势的信号，美日近期走势是看空的，日内推荐关注109.5进场点位布局空单，另从小时线看，如果能收阴线跌破109关口，则后续可以进场追空。(2018-01-25 10:45:50)
0,美元前景看跌的，主要原因归结于以下几点：1.世界其他经济体也在走货币政策正常化的道路，与美联储之间的差距再减小，缩小了美元的优势地位；2.美国政坛一直存在政治不确定性；3.美国税改对于美元的短期利好出尽，同时对于因税改带来的财政赤字反而加大了市场的一些忧虑情绪，目前市场将目光更多聚集在税改的长期效果，基于以上几点，美元还是有看空条件的。(2018-01-25 10:12:13)
1,黄金近期走势强劲，虽然周初美国政府停摆危机解除，但是并没有对黄金造成多大的利空，同时美元持续低迷给了黄金较强的上涨动能；周三黄金分时K线图收阳线突破1343平台压制后，周四再创近期新高，目前日内短线我认为可以采取做多思路，当前看黄金小时线，阳线创新高后，可以考虑在1355一线进场布局多单，止损放在1352，止盈看1362，以上思路可供参考。(2018-01-25 09:55:30)
1,可以考虑结汇，近期欧元的强劲表现，已经引起欧银官员的担忧情绪，不排除今天的利率决议爆出鸽派言论，市场得到的消息是，欧银官员对于欧元走强是持有损及经济发展势头的忧虑的。(2018-01-25 09:41:29)
,0
1,你好，欧元之前突破了重要阻力位置，方向上是倾向逢低多，那么做的话尽量考虑回调支撑进场，别太关注阻力去做空。(2018-01-24 21:23:32)
1,你好，镑美上方强压力是1.4250，目前还没有触及这个位置。(2018-01-24 21:25:39)
0,你好，后续美日如果回测111-110.5附近区域的时候，可以尝试空单进场，不能有效突破该区域的话，美日依旧是空头主导。(2018-01-24 21:20:00)
1,你好，如果作为保值建议后续美元反弹后找机会兑换成加元或英镑。(2018-01-24 21:27:06)
0,你好，美日再往下支撑看到109.00整数位。如需更多外汇技术指导，可添加微信号xi13762 202524，进行详细咨询。(2018-01-24 21:24:23)
0,你好，关键技术位破位，多头止损空头进场。(2018-01-24 21:40:38)
,0
,0
1,你好，从大级别来看黄金周线来看已经接近高点1370附近了，就目前美元的情况来看，这个高点被突破的概率很大，做空的时候应该严格设置止损。从短线来说日内也突破了短线横盘区间继续上行，目前没有出现顶部信号的迹象。建议以尽量减少亏损出场为主。后续如果有机会去回踩1340附近的话找机会离场，只有跌穿1340附近才有继续向下回调的可能，否则会回测之后继续上拉。(2018-01-24 21:14:59)
,你好，思路不错，多头不死空头不止，但仍需要注意风险。(2018-01-24 21:35:31)
0,你好，如果是近期就要使用的话，建议短线有小反弹就进行结汇。(2018-01-24 21:02:15)
0,你好，美加跌破近期横盘区间后，将向下方1.2260以及去年9月份低点1.2060区域发起冲击。(2018-01-24 20:47:22)
1,你好，镑美前期强压力位于1.3860区域以及上行通道上轨，目前突破后形成加速行情，更上方强压力位于1.4250区域。如需更多外汇技术指导，可添加微信号xi13762 202524，进行详细咨询。(2018-01-24 20:45:37)
0,你好，纽人后续4.73如果承压会有机会回落，届时可关注4.64以及4.60附近的兑换机会。(2018-01-24 20:43:34)
1,你好，中期来看澳元仍然是震荡上行走势。(2018-01-24 20:30:39)
,你好，1月底之前大幅反弹的可能性比较小。如需更多外汇技术指导，可添加微信号xi13762 202524，进行详细咨询。(2018-01-24 20:29:13)
1,你好，美加操作逢高做空，反弹关注1.2360区域。(2018-01-24 20:27:21)
,你好，下方已经回答了，请查看。(2018-01-24 20:27:46)
,你好，关于平台的相关的问题可以添加微信号xi13762 202524，进行详细咨询。(2018-01-24 20:24:50)
0,你好，美日晚间等待反弹后逢高做空，反弹关注109.8以及110.00区域，目前美元疲软，直盘品种都以做空美元为主。(2018-01-24 20:22:08)
0,你好，美元指数日内跌破90.00关口后走势依然空头占据主导，操作建议逢高做空。(2018-01-24 20:15:44)
0,你好，澳元兑人民币的话要重点留意5.14附近的争夺，这个位置上不去还有短线回落的可能。(2018-01-24 20:11:42)
,"你好，本周可以重点关注一下明晚的欧洲央行利率决议，如果出现回落可以考虑进行兑换。
(2018-01-24 20:05:33)"
1,你好，后续9块站稳后将会继续向上方9.14以及9.20区域发起冲击。(2018-01-24 20:03:25)
0,你好，因为美元走软人民币走强的缘故，目前美元全面走弱阶段，图形方面美指周线也向下跌穿之前的横盘区间。(2018-01-24 21:09:58)
0,你好，各位新浪的朋友们晚上好，我是分析师陈一铭，本周晚间将由我为大家做外汇分析指导。短线回调如果0.8050如果无法下破，建议先行离场。(2018-01-24 19:59:51)
,0
,"你好，激进可以轻仓考虑，今天下午的指导就要结束了，大家在外汇交易上，重点注意趋势，尽量不要做逆势单，另外外汇市场的波动往往瞬息万变，日内交易主要还是建议快进快出为主。如需更多的交易技巧的课程学习，可以添加公众号：hzzsm888,了解相关资讯及内容。(2018-01-24 16:51:11)"
,你好，是109.8？有盈利机会(2018-01-24 16:44:26)
,0
,0
1,你好，是的，英镑是上涨通道，后市有机会到此位置附近(2018-01-24 16:43:50)
,你好，初步支撑位在88.2附近(2018-01-24 16:29:42)
1,你好，黄金刚刚提示，突破1344，可以在1345直接轻仓做多黄金，做多目标先看1350，黄金在1352的位置是日内的初步阻力位。(2018-01-24 16:15:11)
0,你好，这个问题刚刚已经解答，虽然部分时候欧元的下跌，会成为助推美元的因素之一，但是这种影响相对来说，是比较间接的，依然不能忽视的问题是美元本身，本身的弱势走势是难以支撑其上涨的。在一方面来说，除非是非常大的市场波动，才会带来市场的联动效应，最后，相对来说，市场目前对欧元的情绪可能并不是本月不加息就能消耗的，黄金已经突破1344，做黄金的，可以现价1345轻仓追多。(2018-01-24 16:05:02)
0,你好，做空先看日内亚盘低点109.8，再看破位情况，破位看109.5(2018-01-24 15:39:37)
0,你好，关注昨日晚间的上涨回撤点位1.396，以及5日均线的支撑位1.395的位置，可以回踩布局多单(2018-01-24 15:27:22)
0,你好，机会不大，预计还会下跌。(2018-01-24 15:27:53)
1,你好，可以的，可以轻仓进场，上方重点关注110.2/110.3的阻力位。(2018-01-24 15:25:56)
0,你好，目前还是下跌趋势，预计还会下跌，短期有可能会测试6.35(2018-01-24 15:29:12)
1,你好，可以考虑，欧美短期走势还是看涨的。(2018-01-24 15:11:11)
1,你好，澳美目前走势是高位震荡的行情，下方关注0.798/0.797的支撑位，可以考虑回踩做多澳美。(2018-01-24 15:15:13)
1,你好，欧美关注1.229附近的支撑位，回踩可以轻仓布局多单，做多防守位置看1.226的5日均线支撑情况，上方看1.232/1.235(2018-01-24 15:19:59)
1,你好，个人不建议做空黄金，不排除向上突破的可能。目前四小时的图形上看，下方支撑比较明显，均线呈现平滑向上分布，做空不是很合适，如果行情出现有效突破，也可以再跟进多单。下方还是关注1338的支撑位不变。(2018-01-24 14:53:04)
1,你好，震荡上涨的行情，不是很建议持有(2018-01-24 14:50:08)
1,"你好，有空单的雅瑶考虑好止损的设置，行情若有效突破前期的高点位置1344.5,那么走势上黄金有较大的概率是重回上涨趋势，后市还会向上突破，空单不能持有(2018-01-24 14:49:26)"
0,你好，预计还会下跌，中期有到108附近的可能(2018-01-24 14:28:30)
1,你好，欧元可以持有，还有上涨可能(2018-01-24 14:26:02)
1,你好，其实若果仔细研究市场不难发现，很多时候价格的大幅波动并不依仗基本面事件，更多时候，走势出现之后，基本面事件的影响是其中的助推因素。日内重点关注1.229的支撑位。可以考虑回踩做多。具体图形行情的解析，和未来价格的走向预测，可以添加微信号：zsmlili1818，获得相关的指导学习课程。(2018-01-24 14:25:32)
0,你好，可以的，美日已经破位下跌，支撑位破位转阻力位，可以依托110的阻力位做空美日(2018-01-24 14:20:34)
1,你好，我们在判断价格目标的时候，往往会用到支撑位阻力位的知识，多单在手考虑到的就是价格上方的阻力位，也就是我们多单的目标位置，阻力为的判断中有一个非常重要的部分就是，前期的价格高点，那么近期的黄金价格高点位置在1343/1344的位置，所以，多单可以看此位置即可，若价格能有效突破前高，后市就还有上涨空间。(2018-01-24 14:18:34)
,0
,0
,你好，这个在之前说过，还是要看支撑位的。(2018-01-24 14:15:31)
,你好，不排除这一可能。(2018-01-24 14:14:49)
,你好，虽然部分时候欧元的下跌，会成为助推美元的因素之一，但是这种影响相对来说，是比较间接的，依然不能忽视的问题是美元本身，本身的弱势走势是难以支撑其上涨的。在一方面来说，除非是非常大的市场波动，才会带来市场的联动效应，最后，相对来说，市场目前对欧元的情绪可能并不是本月不加息就能消耗的(2018-01-24 14:13:46)
0,你好，日元走势依然偏空。预计还会下跌。需要的时候可以兑换。(2018-01-24 14:06:41)
1,你好，欧元预计还会上涨，现在可以考虑兑换。(2018-01-24 14:06:02)
1,你好，英镑跟人从去年就开始建议兑换了，有需要的建议及时兑换，后市看涨(2018-01-24 14:04:53)
1,你好，镑美目前是上涨趋势，预计还会上涨(2018-01-24 14:04:23)
0,你好，预计还会下跌，可以再等等(2018-01-24 14:03:53)
0,"你好，难度较大，目前一直是承压下跌的走势，多单建议考虑止损的设置，1.246多单若跌破1.235的短期低点，说明价格重回弱势，后市还会下跌，这个时候就要及时止损了，在交易的过程中，小止损的设置是为了避免更大的止损，就像犯错了要及时认识到错误，不修改，会有反更大错误的可能。日内关注1.245的初步阻力位。若有反弹机会，还是建议及时离场的。如需具体的图形解析及指导建议，可以关注微信公众号：hzzsm888,获得相关的学习课程和资料(2018-01-24 14:03:09)"
0,你好，美加日线级别承压在20日均线的位置，走势上依然偏空头下跌，建议操作上还是做空美加比较合适，下方关注1.236/1.235的前期低点，上方关注1.245的阻力位(2018-01-24 13:56:25)
0,你好，美加日线级别承压在20日均线的位置，走势上依然偏空头下跌，建议操作上还是做空美加比较合适，下方关注1.236/1.235的前期低点(2018-01-24 13:53:58)
1,你好，澳美目前还是上涨趋势，预计还会上涨。(2018-01-24 13:52:35)
0,你好，目前下跌的过程中，短期难有反弹上涨的机会。(2018-01-24 13:48:41)
,你好，有可能，上周周线收出十字线，十字线有可能是反转信号(2018-01-24 13:48:06)
1,你好，是的，英镑走势看涨(2018-01-24 13:47:01)
0,你好，预计还会下跌，可以在需要的时候再兑换(2018-01-24 13:46:41)
,你好，中期看108附近(2018-01-24 13:46:24)
0,你好，短期预计还会承压下跌的可能性更大(2018-01-24 13:45:30)
0,你好，预计还会下跌，下跌的过程中不猜测底部，能否在支撑位反弹也要在后市中寻找反转信号。(2018-01-24 13:45:10)
,你好，也祝大家节日快乐，加元目前走势是比较震荡的，没有明显的趋势和方向，不排除和16年一样，一直呈现震荡的可能，想要兑换也是可以兑换一部分的，预留一部分看后期再考虑兑换，目前从周线上看，加元兑人民币还有下跌可能。(2018-01-24 13:33:31)
,0
,0
,你好，镑日下方强支撑在153、150附近，只要不破150还有反弹的机会，近期主要由于日元走强，镑美承压回落，个人还是比较看好后期走势的，操作上建议逢低布局多单，后期中长线的布局可添加微信jingzhe1688跟进了解。(2018-01-24 11:58:45)
1,你好，镑美整体趋势偏强，日内关注下方1.4000的支撑，逢低布局多单，短线持有，防止空头回补。(2018-01-24 11:53:48)
0,你好，从周线看，澳元兑人民币连续出现两根带长影线的十字星，若本周未能突破前高，则会有短期回落的机会。(2018-01-24 11:52:18)
,你好，美日目前跌破上周低点，扭转了此前日本央行行长黑田东彦表示仍将全力支持货币宽松政策，他的言论抑制了人们的猜测，即日本央行不久将追随欧洲央行和美联储，结束货币宽松政策。从技术面看，美日近期关键的多空分水岭是110.00关口，若跌破该支撑则意味着开启一个新的看跌趋势，下行空间将进一步被打开；操作上逢高布局空单，防止追在地面上。(2018-01-24 11:01:41)
0,你好，从技术面看，美日近期关键的多空分水岭是110.00关口，若跌破该支撑则意味着开启一个新的看跌趋势，下行空间将进一步被打开，日内预计还有测试110的可能，稳健还是在110.5附近布局空单。(2018-01-24 11:14:59)
1,你好，黄金多单可以看前期高点1357，若中长线持有也是可以的，后期中长线布局机会可添加微信jingzhe1688免费交流和学习。(2018-01-24 10:44:06)
1,你好，美日下方看108.9、108的支撑(2018-01-24 10:37:33)
,你好，纽美的确比较强势，不过近期多头有些乏力，操作可以低多布局，下方支撑可关注0.7320，看涨不追涨，防止空头回补被套高点。(2018-01-24 10:42:21)
,你好，澳美近期处于0.7950-0.8020区间震荡，日内守住昨日高点可以尝试布局空单，下方支撑在0.7960，日内暂时高抛低吸。(2018-01-24 10:35:42)
,你好，澳美近期处于0.7950-0.8020区间震荡，日内守住昨日高点可以尝试布局空单，下方支撑在0.7960，日内暂时高抛低吸。(2018-01-24 10:45:13)
,你好，澳美当前未出现回抽企稳的信号，暂时还不能布局空单，日内关注昨日高点的阻力，不破可空，否则近期还有上行的风险，后续的分析学习可添加微信免费咨询。(2018-01-24 10:26:39)
0,你好，澳美近期处于0.7950-0.8020区间震荡，日内守住昨日高点可以尝试布局空单，下方支撑在0.7960，日内暂时高抛低吸。(2018-01-24 10:45:07)
,你好，近期可以分批兑换(2018-01-24 10:12:00)
1,你好，欧美短期还有上行的风险，所以空单还不适合介入，日内支撑看1.2270的支撑，逢低布局多单，看新高。(2018-01-24 11:11:20)
0,你好，美日目前跌破上周低点，扭转了此前日本央行行长黑田东彦表示仍将全力支持货币宽松政策，且不打算缩减刺激措施的早期涨幅。黑田东彦的言论抑制了人们的猜测，即日本央行不久将追随欧洲央行和美联储，结束货币宽松政策。从技术面看，美日近期关键的多空分水岭是110.00关口，若跌破该支撑则意味着开启一个新的看跌趋势，下行空间将进一步被打开；操作上谨慎低多布局。(2018-01-24 10:58:19)
0,你好，纽美有进一步看向0.7400区域的可能；在未来一周里有望继续维持多头的趋势，主要推动因素仍是美元的弱势；日内关注下方0.7340/20的支撑逢低布局多单。(2018-01-24 11:06:17)
0,你好，美加整体偏空趋势，一旦跌破1.2400建议及时离场，日内守住10日均线的阻力位，逢高做空，逆势单择机离场，后续更多详解可添加微信咨询。(2018-01-24 10:47:17)
0,你好，美加趋势偏空，稳健还是建议在日线依据上方10日均线的阻力，逢高布局空单，当前进场的单子建议守住1.2400的支撑逢高减仓或离场。(2018-01-24 10:00:25)
0,你好，做空可参考前期高点的阻力位，后期中长线布局机会可详细咨询微信。(2018-01-24 09:54:17)
0,你好，美元和美国国债收益率走弱，美国十年期国债收益率在近三周内录得最大单日跌幅，美元指数仍陷于三年低位附近；先前美国议员达成协议，暂时解除三天来政府关门局面，不过市场对此担忧并未完全解除，加上全球其他央行收水致美元收益率优势侵蚀，美元仍面临压力。(2018-01-24 09:57:57)
,0
,0
1,你好，欧美支撑看1.2270的支撑，逢低布局多单，后续详细分析可添加微信jingzhe1688免费交流和学习。(2018-01-24 09:53:06)
0,你好，美元和美国国债收益率走弱，美国十年期国债收益率在近三周内录得最大单日跌幅，美元指数仍陷于三年低位附近；先前美国议员达成协议，暂时解除三天来政府关门局面，不过市场对此担忧并未完全解除，加上全球其他央行收水致美元收益率优势侵蚀，美元仍面临压力。(2018-01-24 09:56:32)
0,你好，美指日内先看89.97的低点是否被破，目前暂时没有利好因素的支撑，不过在加息来临前会得到一些支撑。(2018-01-24 09:47:30)
1,你好，镑美多头存在更多上行空间，不过下一轮上行将需新的利好触发因素，即英国录得意外乐观的经济数据，及英国与欧盟就脱欧过渡协议达成君子协定；技术看镑美最终上破1.40关口，不过多头可能难以维持该点位上方的涨势，短线暂时低多为主，看涨不追涨，后续可添加微信详细了解。(2018-01-24 09:32:22)
,你好，欧美汇率在美元下跌期间飙升至6天的高点1.2305，随后承压回落。市场渴望在欧洲央行的量化宽松计划结束时获得更早的期限，许多人希望欧洲央行能清楚地表明其政策改革的下一步举措。如果该央行确实公布了进一步削减量化宽松措施的计划，那么欧元兑美元汇率可能会突破一周多的震荡区间，再度强势走高。然而，如果欧洲央行基调偏向于鸽派，那么美元就有可能恢复升势。欧美近期整体处于1.215-1.230区间里震荡。乐观来说，若欧美上破1.230的压制，阻力将关注上周高点1.2320。再度上破后则依次关注1.2345和1.2385。(2018-01-24 10:11:24)
0,你好，美加整体破偏空走势，上方关注日线10日均线的阻力，逢高布局空单，后续详细分析可添加微信咨询。(2018-01-24 10:13:57)
1,你好，欧元兑人民币整体看处于上行阶段，近期可以考虑兑换(2018-01-24 09:06:14)
,0
,你好，美日多单关注区间下沿110.20附近能否形成支撑。(2018-01-23 21:56:46)
,你好，英镑结汇的话8.96附近已经可以考虑进行了。(2018-01-23 21:44:14)
0,你好，欧美要做空建议耐心等待上方1.2280~1.2300区域。(2018-01-23 21:44:57)
0,你好，如果有效跌破区间下沿110.20可以考虑跟进空单。(2018-01-23 21:36:24)
,你好，澳元如果不急用可以关注一下5.0附近的兑换机会。(2018-01-23 21:32:02)
,"你好，镑美回踩先看1.3900区域，后续还有机会进一步上探，但不建议盲目追高。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-23 21:15:36)"
1,你好，晚间欧美还是看震荡，镑美短线回调后还是可以择机做多。(2018-01-23 21:07:10)
,你好，美日从日线看，目前这个位置属于可上可下的位置，不管是离上方115还是下方108区域都还有一定距离，所以不建议贸然重仓赌空单，可耐心等待小的横盘整理区间110.20~111.50突破后再选择跟进。(2018-01-23 21:05:52)
,你好，目前并没有基本面消息的影响，属于正常技术性走势。(2018-01-23 21:03:28)
0,你好，可以关注一下周四欧洲央行利率决议，届时将有机会回落至7.82左右。(2018-01-23 20:48:29)
